year,state_abbr,state_name.x,population,violent_crime,Income,Unemployment,CPIAUCNS,Executions
1979,AL,Alabama,3769000,15578,7275,6.8,68.3,0
1979,AK,Alaska,406000,1994,13745,9.7,68.3,0
1979,AZ,Arizona,2450000,14528,8712,5.6,68.3,0
1979,AR,Arkansas,2180000,7984,7090,6.5,68.3,0
1979,CA,California,22696000,184087,10758,6.5,68.3,0
1979,CO,Colorado,2772000,14472,9820,4.9,68.3,0
1979,CT,Connecticut,3115000,12902,10908,5.3,68.3,0
1979,DE,Delaware,582000,3127,9547,7.2,68.3,0
1979,FL,Florida,8860000,73881,8939,6.4,68.3,1
1979,GA,Georgia,5118000,28594,7850,5.7,68.3,0
1979,HI,Hawaii,915000,2651,10571,6.5,68.3,0
1979,ID,Idaho,905000,2613,8009,6.1,68.3,0
1979,IL,Illinois,11230000,83540,10117,5.6,68.3,0
1979,IN,Indiana,5400000,18254,8732,5.6,68.3,0
1979,IA,Iowa,2903000,5259,9016,4.1,68.3,0
1979,KS,Kansas,2369000,8376,9251,3.1,68.3,0
1979,KY,Kentucky,3527000,8748,7535,5.2,68.3,0
1979,LA,Louisiana,4026000,27229,7846,5.8,68.3,0
1979,ME,Maine,1097000,2221,7636,6.5,68.3,0
1979,MD,Maryland,4149000,33007,10311,5.8,68.3,0
1979,MA,Massachusetts,5769000,30650,9481,5.9,68.3,0
1979,MI,Michigan,9208000,56558,9566,7.2,68.3,0
1979,MN,Minnesota,4060000,8973,9360,3.8,68.3,0
1979,MO,Missouri,4868000,25662,8695,4.3,68.3,0
1979,MT,Montana,786000,1762,8298,5.1,68.3,0
1979,NE,Nebraska,1574000,3556,8843,2.8,68.3,0
1979,NV,Nevada,702000,5866,10945,4.7,68.3,1
1979,NH,New Hampshire,887000,1241,8896,3.2,68.3,0
1979,NJ,New Jersey,7332000,36747,10493,7.1,68.3,0
1979,NM,New Mexico,1241000,7272,7878,6.3,68.3,0
1979,NY,New York,17649000,161906,9831,7.2,68.3,0
1979,NC,North Carolina,5606000,25009,7568,4.7,68.3,0
1979,ND,North Dakota,657000,403,8445,4.3,68.3,0
1979,OH,Ohio,10731000,49092,9088,5.6,68.3,0
1979,OK,Oklahoma,2892000,11719,8557,3.4,68.3,0
1979,OR,Oregon,2527000,13781,9461,7,68.3,0
1979,PA,Pennsylvania,11731000,39133,9155,6.8,68.3,0
1979,RI,Rhode Island,929000,3485,8742,6.1,68.3,0
1979,SC,South Carolina,2932000,19889,7219,5.3,68.3,0
1979,SD,South Dakota,689000,1096,8222,3.3,68.3,0
1979,TN,Tennessee,4380000,18135,7620,5.6,68.3,0
1979,TX,Texas,13385000,67988,8978,4.5,68.3,0
1979,UT,Utah,1367000,4158,7748,3.8,68.3,0
1979,VT,Vermont,493000,908,7940,5.3,68.3,0
1979,VA,Virginia,5197000,15642,9425,5.1,68.3,0
1979,WA,Washington,3926000,17064,10156,7,68.3,0
1979,WV,West Virginia,1878000,3156,7335,6.3,68.3,0
1979,WI,Wisconsin,4720000,7839,9172,4.9,68.3,0
1979,WY,Wyoming,450000,1579,10437,2.7,68.3,0
1980,AL,Alabama,3861466,17320,7957,7.3,77.8,0
1980,AK,Alaska,440142,1919,15507,9.1,77.8,0
1980,AZ,Arizona,2715357,17673,9671,5.7,77.8,0
1980,AR,Arkansas,2284037,7656,7597,6.2,77.8,0
1980,CA,California,23532680,210290,11945,6.1,77.8,0
1980,CO,Colorado,2878407,15215,11019,4.7,77.8,0
1980,CT,Connecticut,3095224,12768,12365,5.1,77.8,0
1980,DE,Delaware,594779,2824,10809,7.1,77.8,0
1980,FL,Florida,9567112,94095,10145,5.5,77.8,0
1980,GA,Georgia,5400851,29993,8602,5.3,77.8,0
1980,HI,Hawaii,964680,2889,11867,5.2,77.8,0
1980,ID,Idaho,943629,2957,8856,6.4,77.8,0
1980,IL,Illinois,11355062,91753,10950,6.6,77.8,0
1980,IN,Indiana,5461103,20633,9365,8.1,77.8,0
1980,IA,Iowa,2907804,5826,9607,4.7,77.8,0
1980,KS,Kansas,2354783,9168,10075,3.6,77.8,0
1980,KY,Kentucky,3641479,9711,8152,6.2,77.8,0
1980,LA,Louisiana,4199542,27926,8849,6.8,77.8,0
1980,ME,Maine,1123670,2173,8567,6.9,77.8,0
1980,MD,Maryland,4192211,35735,11473,5.8,77.8,0
1980,MA,Massachusetts,5728288,34444,10684,5.3,77.8,0
1980,MI,Michigan,9228128,59014,10230,9.7,77.8,0
1980,MN,Minnesota,4061235,9250,10282,5.1,77.8,0
1980,MO,Missouri,4901288,27177,9370,5.9,77.8,0
1980,MT,Montana,781592,1740,9142,5.5,77.8,0
1980,NE,Nebraska,1563921,3512,9386,3.2,77.8,0
1980,NV,Nevada,800312,7304,11951,4.9,77.8,0
1980,NH,New Hampshire,919114,1653,10039,3.6,77.8,0
1980,NJ,New Jersey,7342164,44373,11801,6.5,77.8,0
1980,NM,New Mexico,1295474,7967,8647,6.8,77.8,0
1980,NY,New York,17506690,180235,11001,7.2,77.8,0
1980,NC,North Carolina,5843665,26589,8348,5.2,77.8,0
1980,ND,North Dakota,652437,352,8053,4.1,77.8,0
1980,OH,Ohio,10766808,53646,9924,6.2,77.8,0
1980,OK,Oklahoma,3001252,12589,9629,3.2,77.8,0
1980,OR,Oregon,2610477,12802,10234,6.6,77.8,0
1980,PA,Pennsylvania,11824220,43032,10034,7.1,77.8,0
1980,RI,Rhode Island,945835,3864,9898,6.8,77.8,0
1980,SC,South Carolina,3064557,20225,7965,5.4,77.8,0
1980,SD,South Dakota,688217,873,8269,3.7,77.8,0
1980,TN,Tennessee,4545590,20824,8277,6.1,77.8,0
1980,TX,Texas,14169829,77978,9983,4.6,77.8,0
1980,UT,Utah,1458729,4425,8366,5.1,77.8,0
