state_abbr,state_name,population00,violent_crime00,Income_per_capita00,Unemployment00,Poverty00,CPI00,Executions00,Urbanization00,vcrime_per_capita00,executions_per_vcrime00,population99,violent_crime99,Income_per_capita99,Unemployment99,Poverty99,CPI99,Executions99,vcrime_per_capita99,executions_per_vcrime99,violent_crime_diff,Unemployment_diff,Income_diff,Unemployment00_sq,Poverty00_ln,Execution_dummy00,Execution_dummy99,Poverty99_ln
AK,Alaska,626932,3554,31974,6.3,616957,168.8,0,65.6,56.688763693670126,0,619500,3908,29892,6.5,616255,164.3,0,63.08313155770783,0,-354,-0.20000000000000018,2082,39.69,13.332554608400574,0,0,13.331416117896385
AL,Alabama,4447100,21620,24338,4.7,4371402,168.8,4,55.4,48.6159519686987,1.8501387604070305,4369862,21421,23352,4.5,4368014,164.3,2,49.019854631565025,0.9336632276737781,199,0.20000000000000018,986,22.090000000000003,15.29059433941745,1,1,15.289819001529947
AR,Arkansas,2673400,11904,22762,4.4,2634478,168.8,2,52.5,44.52756789107504,1.6801075268817205,2551373,10848,21861,4.8,2617823,164.3,4,42.51828329295638,3.687315634218289,1056,-0.39999999999999947,901,19.360000000000003,14.78419561786592,1,1,14.777853614304673
AZ,Arizona,5130632,27281,26235,4.1,5194502,168.8,3,88.2,53.17278651051176,1.099666434514864,4778332,26334,24813,4.5,5027482,164.3,7,55.1112815099495,2.658160552897395,947,-0.40000000000000036,1422,16.81,15.463111316515269,1,1,15.430429820314231
CA,California,33871648,210531,33364,5,33846211,168.8,1,94.4,62.15552310888446,0.047498943148514945,33145121,207879,30640,5.6,33284948,164.3,2,62.717828062839175,0.09620981436316318,2652,-0.5999999999999996,2724,25,17.337337616049982,1,1,17.320615840750435
CO,Colorado,4301261,14367,34187,2.8,4341448,168.8,0,84.5,33.40183262536266,0,4056133,13811,31477,3.2,4224816,164.3,0,34.049672434311205,0,556,-0.40000000000000036,2710,7.839999999999999,15.28371849098395,0,0,15.256486267529212
CT,Connecticut,3405565,11058,43102,2.8,3354407,168.8,0,87.7,32.47038303482682,0,3282031,11342,39693,3,3346516,164.3,0,34.557869806836074,0,-284,-0.20000000000000018,3409,7.839999999999999,15.025785561647865,0,0,15.023430362626002
DE,Delaware,783600,5363,33907,3.5,778813,168.8,1,80.1,68.44053088310362,1.8646280067126608,753538,5534,31188,3.3,765873,164.3,2,73.44022464693221,3.614022406938923,-171,0.20000000000000018,2719,12.25,13.565526244688067,1,1,13.548771638632347
FL,Florida,15982378,129777,29428,3.7,16002039,168.8,6,89.3,81.20005671246169,0.46233153794586096,15111244,129044,27678,4,15690191,164.3,1,85.39601372329108,0.0774929481417191,733,-0.2999999999999998,1750,13.690000000000001,16.588226709584585,1,1,16.568546297993947
GA,Georgia,8186453,41319,28861,3.7,8201336,168.8,0,71.6,50.472408502192586,0,7788240,41585,27275,4.1,8008176,164.3,0,53.39460519963432,0,-266,-0.39999999999999947,1586,13.690000000000001,15.919807625792615,0,0,15.895973577757658
HI,Hawaii,1211537,2954,29404,4.7,1191305,168.8,0,91.5,24.382251635732132,0,1185497,2785,27809,5.9,1187891,164.3,0,23.492256834053567,0,169,-1.2000000000000002,1595,22.090000000000003,13.990559902874255,0,0,13.987690023853611
IA,Iowa,2926324,7796,27463,2.4,2864222,168.8,0,61.1,26.640932446304646,0,2869413,8034,25819,2.7,2865354,164.3,0,27.99875793411405,0,-238,-0.30000000000000027,1644,5.76,14.867807318025102,0,0,14.868202460707467
ID,Idaho,1293953,3267,25235,4.6,1293002,168.8,0,66.4,25.24821226118723,0,1251700,3066,23788,5,1271849,164.3,0,24.494687225373493,0,201,-0.40000000000000036,1447,21.159999999999997,14.072477204543208,0,0,14.05598230514371
IL,Illinois,12419293,81196,33169,4.2,12243210,168.8,0,87.8,65.37892293868902,0,12128370,83621,31024,4.2,12198363,164.3,1,68.94661030295084,0.11958718503725141,-2425,0,2145,17.64,16.32048205556761,0,1,16.31681232037263
IN,Indiana,6080485,21230,28233,3.2,5997637,168.8,0,70.8,34.914977999287885,0,5942901,22261,26693,3,5965230,164.3,1,37.45813702769068,0.4492161178743093,-1031,0.20000000000000018,1540,10.240000000000002,15.60687611628628,0,1,15.6014581710273
KS,Kansas,2688418,10470,28244,3.4,2635312,168.8,0,71.4,38.944836703221,0,2654052,10159,26936,3.3,2629867,164.3,0,38.27732086635831,0,311,0.10000000000000009,1308,11.559999999999999,14.78451213902026,0,0,14.78244383253302
KY,Kentucky,4041769,11903,24894,4.2,3972382,168.8,0,55.8,29.449975988236833,0,3960825,12212,23255,4.6,3953958,164.3,1,30.831960513276904,0.8188666885031117,-309,-0.39999999999999947,1639,17.64,15.194876472735341,0,1,15.190227660501504
LA,Louisiana,4468976,30440,23943,5.1,4343637,168.8,1,72.6,68.11403775719539,0.328515111695138,4372035,32033,22731,5.2,4366082,164.3,1,73.26794044420961,0.31217806636905693,-1593,-0.10000000000000053,1212,26.009999999999998,15.28422257356837,1,1,15.289376597409014
MA,Massachusetts,6349097,30230,38555,3,6274430,168.8,0,91.4,47.613070016098355,0,6175169,34023,34889,3.2,6222911,164.3,0,55.09646780517262,0,-3793,-0.20000000000000018,3666,9,15.651993202202837,0,0,15.643748361665377
MD,Maryland,5296486,41663,35681,3.4,5262675,168.8,0,86.1,78.66158807934166,0,5171634,38447,33124,3.8,5210551,164.3,0,74.34207447781495,0,3216,-0.3999999999999999,2557,11.559999999999999,15.476150010576637,0,0,15.466196166294939
ME,Maine,1274923,1397,27584,3.6,1262256,168.8,0,40.2,10.957524493636086,0,1253040,1404,25892,4.1,1259692,164.3,0,11.204750047883547,0,-7,-0.49999999999999956,1692,12.96,14.048411154126383,0,0,14.046377804601804
MI,Michigan,9938444,55159,30409,3.3,9807443,168.8,0,74.7,55.500639737971056,0,9863775,56709,28695,3.9,9785143,164.3,0,57.4921873217911,0,-1550,-0.6000000000000001,1714,10.889999999999999,16.09865214517029,0,0,16.096375772910942
MN,Minnesota,4919479,13813,32447,3,4892721,168.8,0,70.9,28.078176571136904,0,4775508,13085,30318,2.5,4845855,164.3,0,27.400226321471976,0,728,0.5,2129,9,15.403259148412559,0,0,15.393634258326136
